3,2017-08-27T19:49:19.000Z,Lil Uzi Vert - Luv Is Rage 2 ALBUM REVIEW
6,2013-03-01T14:54:45.000Z,Darkthrone - The Underground Resistance ALBUM REVIEW
5,2010-10-27T18:39:24.000Z,Squarepusher Presents Shobaleader One: d'Demonstrator ALBUM REVIEW
5,2016-06-28T19:30:56.000Z,Red Hot Chili Peppers - The Getaway ALBUM REVIEW
7,2017-04-18T14:57:11.000Z,Kendrick Lamar - DAMN. ALBUM REVIEW
6,2011-07-21T07:51:24.000Z,Portugal. The Man- In the Mountain In the Cloud ALBUM REVIEW
2,2017-08-28T17:09:07.000Z,XXXTentacion - 17 ALBUM REVIEW
6,2011-11-30T17:18:10.000Z,Red Horse- Self-Titled ALBUM REVIEW
6,2012-03-30T16:06:21.000Z,Meshuggah- Koloss ALBUM REVIEW
6,2015-09-09T15:59:05.000Z,Iron Maiden - The Book of Souls ALBUM REVIEW
6,2015-02-05T15:46:32.000Z,Matana Roberts - Coin Coin Chapter 3: River Run Thee ALBUM REVIEW
4,2016-08-17T17:40:15.000Z,PartyNextDoor - P3 ALBUM REVIEW
6,2013-03-28T00:54:21.000Z,Bonobo - The North Borders ALBUM REVIEW
4,2016-03-09T19:20:32.000Z,"The 1975 - I Like It When You Sleep, for You Are So Beautiful Yet So Unaware of It ALBUM REVIEW"
3,2010-10-21T18:59:30.000Z,Wire- Two Minutes TRACK REVIEW
5,2015-10-16T18:07:46.000Z,CHVRCHES - Every Open Eye ALBUM REVIEW
7,2010-10-06T17:37:03.000Z,Brian Eno- 2 Forms of Anger TRACK REVIEW
3,2012-10-04T14:50:15.000Z,Muse- The 2nd Law ALBUM REVIEW
8,2011-09-21T13:21:46.000Z,Veronica Falls- Self-Titled ALBUM REVIEW
4,2018-12-13T01:59:33.000Z,Soap&Skin - From Gas to Solid / You Are My Friend ALBUM REVIEW
5,2018-05-17T17:23:44.000Z,Arctic Monkeys - Tranquility Base Hotel + Casino ALBUM REVIEW
4,2018-05-31T17:01:13.000Z,A$AP Rocky - Testing ALBUM REVIEW
6,2012-08-02T11:15:16.000Z,Passion Pit- Gossamer ALBUM REVIEW
6,2013-04-11T13:50:33.000Z,The Flaming Lips - The Terror ALBUM REVIEW
5,2015-11-16T17:53:09.000Z,The Garden - Haha ALBUM REVIEW
6,2015-03-28T16:34:47.000Z,"Earl Sweatshirt - I Don't Like Shit, I Don't Go Outside ALBUM REVIEW"
6,2016-09-12T14:06:22.000Z,Glass Animals - How To Be A Human Being ALBUM REVIEW
5,2017-10-31T16:06:05.000Z,Fever Ray - Plunge ALBUM REVIEW
7,2012-01-05T18:27:37.000Z,Zammuto- Idiom Wind EP REVIEW
6,2011-12-07T17:19:34.000Z,Nujabes- Spiritual State ALBUM REVIEW
7,2013-11-22T19:28:06.000Z,Soupcans - Parasite Brain EP REVIEW
4,2015-05-21T19:30:51.000Z,Twenty One Pilots - Blurryface ALBUM REVIEW
